0,1,2,3,4,5,6,7,8,9,10,11
1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,1,1,1,1,0,1,0
1,1,0,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,0,0
1,1,0,0,1,1,1,1,1,1,1,1
System,Last,Moment in Querrichtung,Bewehrung aus Moment in Querrichtung ,Einzelner Plattenbalken,Mittragende Plattenbreite,Fachwerkmodell,Längsbewehrung Steg,Bügelbewehrung ,Querbewehrung Platte,Konstruktive Bewehrung,Bewehrung gesamt