index,name,type,material,display_name_german,with_text
0,lines_sut_beam_strut,lines,green,Druckstreben Hohlkasten,1
1,lines_sut_beam_tie,lines,blue,Zugstreben Hohlkasten,1
2,lines_sut_wall_strut,lines,green,Druckstreben Wand,1
3,lines_sut_wall_tie,lines,blue,Zugstreben Wand,1
4,arrow_force_internal_beam,arrow,red,Auflagerkräfte Wand,1
5,arrow_force_internal_wall,arrow,red,Einwirkungen Hohlkasten,0
6,arrow_force_external,arrow,red,Äussere Last,0
7,mesh_concrete_wall,mesh,concrete,Beton Wand,1
8,mesh_concrete_beam,mesh,concrete,Beton Hohlkasten,1
9,mesh_reinforcement_wall_A,mesh,steel,Bewehrung Strebe A,0
10,mesh_reinforcement_wall_B,mesh,steel,Bewehrung Strebe B,0
11,mesh_reinforcement_wall_C,mesh,steel,Bewehrung Strebe C,0
12,mesh_reinforcement_wall_D,mesh,steel,Bewehrung Strebe D,0
13,mesh_reinforcement_wall_E,mesh,steel,Bewehrung Strebe E,0
14,mesh_reinforcement_wall_F,mesh,steel,Bewehrung Strebe F,0
15,mesh_reinforcement_wall_H,mesh,steel,Bewehrung Strebe H,0
16,mesh_reinforcement_beam_long,mesh,steel,Längsbewehrung Hohlkasten,1
17,mesh_reinforcement_beam_stirrups,mesh,steel,Bügelbewehrung Hohlkasten,1
18,mesh_reinforcement_beam_stringer_top,mesh,steel,Bewehrung Stringer oben,1
19,mesh_reinforcement_beam_stringer_bot,mesh,steel,Bewehrung Stringer unten,1
20,mesh_support,mesh,concrete,Umgebung ,1
21,mesh_reinforcement_wall_secondary,mesh,steel,Konstruktive Bewehrung ,1